Movie_ID,Genre,Release_Year,Runtime_Minutes,Budget_Million,Marketing_Million,Opening_Weekend_Million,Theater_Count,IMDb_Rating,Critic_Score,Audience_Score,Star_Power,Franchise,Sequel,Box_Office_Revenue_Million
1,Romance,2010,86,99.97,48.67,43.05,2708,7.4,88,82,2.5,No,No,391.62
2,Horror,2024,79,78.77,29.11,49.05,2333,6.6,84,69,3.8,No,No,343.03
3,Thriller,2017,78,58.76,13.97,39.01,3382,8.1,94,99,6.1,No,No,396.14
4,Sci-Fi,2021,137,46.03,7.52,24.2,2018,7.1,74,73,6.4,No,No,412.06
5,Romance,2020,128,63.07,14.88,39.35,3289,9.0,85,99,2.3,No,No,243.29
6,Fantasy,2021,100,97.47,30.84,33.96,2971,7.2,77,99,3.4,No,No,593.05
7,Drama,2021,132,143.54,65.14,74.86,2691,5.2,50,69,6.0,Yes,Yes,697.85
8,Romance,2013,103,148.08,33.34,44.84,3298,5.2,51,68,6.8,No,No,426.2
9,Thriller,2025,121,70.04,30.67,22.76,2278,7.6,68,99,3.2,No,No,329.41
10,Sci-Fi,2013,105,49.18,24.43,37.2,2364,8.1,90,99,5.2,No,No,505.04
11,Horror,2014,113,60.48,20.05,52.17,1987,6.5,89,82,9.2,Yes,Yes,575.49
12,Thriller,2017,97,77.22,36.96,67.34,3340,8.8,98,97,10.0,No,No,704.72
13,Thriller,2014,100,77.02,28.64,56.77,2956,8.4,91,96,9.9,Yes,Yes,890.0
14,Drama,2017,126,128.71,52.11,76.47,2974,7.3,81,84,9.1,No,No,507.87
15,Animation,2024,129,217.58,78.44,74.51,4623,7.5,53,83,5.2,Yes,No,1200.0
16,Sci-Fi,2019,107,48.13,16.14,32.89,2270,7.8,82,92,7.5,No,No,543.36
17,Comedy,2010,84,223.33,54.46,99.2,4359,8.6,80,99,5.3,No,No,825.08
18,Thriller,2021,164,117.84,31.97,53.97,2880,7.6,85,77,7.2,No,No,585.8
19,Animation,2024,116,51.51,13.7,40.49,2461,7.3,78,99,4.5,Yes,No,693.26
20,Comedy,2019,121,145.68,54.68,77.65,3070,7.6,75,92,6.8,Yes,Yes,1004.37
21,Sci-Fi,2018,90,164.52,32.57,107.32,3328,7.5,84,85,6.2,Yes,No,1200.0
22,Action,2015,139,40.78,21.07,34.73,2252,7.8,87,92,2.2,Yes,Yes,742.4
23,Fantasy,2012,142,169.57,74.32,108.25,2991,5.8,81,78,8.3,No,No,1106.75
24,Animation,2022,81,110.62,34.36,40.15,2595,7.4,89,73,2.1,Yes,Yes,994.85
25,Adventure,2023,113,256.44,54.74,140.05,4000,7.5,85,86,4.3,No,No,1200.0
26,Action,2017,111,41.75,20.99,25.26,2291,7.0,69,71,2.0,Yes,No,533.09
27,Fantasy,2018,163,43.71,20.96,38.21,2178,7.7,74,99,5.0,No,No,412.01
28,Drama,2015,144,14.73,6.46,16.64,2519,8.6,98,99,2.5,No,No,195.33
29,Romance,2020,86,79.73,20.62,51.05,2941,7.2,78,73,9.3,Yes,No,471.49
30,Horror,2016,100,70.19,21.83,48.42,2334,7.7,87,99,5.3,No,No,372.63
31,Adventure,2010,97,38.14,7.29,19.44,2834,8.4,98,91,5.7,Yes,Yes,758.94
32,Drama,2023,122,52.15,11.77,22.48,3206,7.2,65,82,4.8,Yes,Yes,315.34
33,Sci-Fi,2014,146,23.45,10.86,25.55,989,6.4,86,75,7.0,No,No,382.07
34,Drama,2014,117,119.86,52.26,44.14,3345,7.6,94,80,8.3,No,No,456.63
35,Romance,2019,125,40.01,15.5,25.17,1814,5.3,40,67,7.2,No,No,190.15
36,Sci-Fi,2023,102,300.0,120.0,168.5,4900,5.3,85,45,8.0,No,No,1200.0
37,Adventure,2013,125,49.07,18.81,56.58,2861,7.4,85,96,9.2,No,No,685.21
38,Romance,2015,106,33.57,11.31,25.02,1664,5.2,55,54,8.9,No,No,170.25
39,Comedy,2016,82,42.07,12.04,26.39,1252,6.0,73,68,7.4,No,No,215.17
40,Horror,2018,124,21.97,11.56,11.51,2415,6.8,66,87,3.7,No,No,176.63
41,Adventure,2010,115,75.25,13.78,36.36,2545,6.5,78,75,7.1,Yes,Yes,902.46
42,Comedy,2024,93,41.86,21.87,35.96,1343,7.0,70,81,6.0,Yes,Yes,471.62
43,Fantasy,2015,148,114.74,55.15,74.76,4097,8.0,98,83,7.7,No,No,1007.67
44,Adventure,2016,100,46.0,9.29,57.9,2526,7.3,82,99,8.7,No,No,652.88
45,Fantasy,2012,127,135.26,50.86,71.11,3352,6.4,78,81,7.9,Yes,No,1200.0
46,Sci-Fi,2017,108,89.99,44.69,48.81,3293,8.2,82,84,8.8,No,No,796.53
47,Comedy,2024,146,56.03,21.22,34.67,2014,6.0,76,74,2.5,Yes,Yes,429.11
48,Horror,2014,110,153.62,78.79,89.4,3248,7.3,81,75,2.3,No,No,572.79
